133,454
144,535
157,615
183,688
234,749
300,791
375,819
441,847
505,854
560,839
607,806
659,774
700,726
727,668
741,605
746,544
749,481
260,408
311,375
374,361
442,365
501,386
577,394
624,379
673,375
716,390
734,427
540,470
547,497
555,522
564,551
487,611
517,617
546,621
570,617
592,612
326,480
365,467
406,467
438,490
403,501
361,500
590,495
619,473
656,477
684,492
659,508
622,509
433,715
485,692
525,676
544,682
562,676
583,692
604,716
579,735
558,746
537,749
517,748
481,739
452,710
522,697
541,699
560,697
587,712
559,713
540,715
521,715
